StringConcat1 Test;;;
Length;;Time (s);Time (micro-seconds)
0;2.85E-7;2,85E-7;0,285
1000;0.001738981;0,001738981;1738,981
2000;0.00451582;0,00451582;4515,82
3000;0.00982885;0,00982885;9828,85
4000;0.009412567;0,009412567;9412,567
5000;0.015584396;0,015584396;15584,396
6000;0.021306868;0,021306868;21306,868
7000;0.025538988;0,025538988;25538,988
8000;0.041010474;0,041010474;41010,474
9000;0.03049276;0,03049276;30492,76
10000;0.077876932;0,077876932;77876,932
11000;0.044717107;0,044717107;44717,107
12000;0.06310714;0,06310714;63107,14
13000;0.130194347;0,130194347;130194,347
14000;0.071179902;0,071179902;71179,902
15000;0.030414065;0,030414065;30414,065
16000;0.023748113;0,023748113;23748,113
17000;0.026845718;0,026845718;26845,718
18000;0.036964826;0,036964826;36964,826
19000;0.0714847;0,0714847;71484,7
20000;0.037293006;0,037293006;37293,006
21000;0.041036705;0,041036705;41036,705
22000;0.045800869;0,045800869;45800,869
23000;0.050612079;0,050612079;50612,079
24000;0.056209095;0,056209095;56209,095
25000;0.060908821;0,060908821;60908,821
26000;0.064790236;0,064790236;64790,236
27000;0.070683498;0,070683498;70683,498
28000;0.075449657;0,075449657;75449,657
29000;0.080319318;0,080319318;80319,318
30000;0.087153779;0,087153779;87153,779
31000;0.092485914;0,092485914;92485,914
32000;0.098758392;0,098758392;98758,392
33000;0.106323345;0,106323345;106323,345
34000;0.111248034;0,111248034;111248,034
35000;0.118722318;0,118722318;118722,318
36000;0.12581881;0,12581881;125818,81
37000;0.132726833;0,132726833;132726,833
38000;0.140397283;0,140397283;140397,283
39000;0.147236876;0,147236876;147236,876
40000;0.156224321;0,156224321;156224,321
41000;0.164704242;0,164704242;164704,242
42000;0.17315337;0,17315337;173153,37
43000;0.179852396;0,179852396;179852,396
44000;0.184306343;0,184306343;184306,343
45000;0.191937161;0,191937161;191937,161
46000;0.201273029;0,201273029;201273,029
47000;0.22793313;0,22793313;227933,13
48000;0.224292646;0,224292646;224292,646
49000;0.233735436;0,233735436;233735,436
50000;0.240158747;0,240158747;240158,747
51000;0.248093793;0,248093793;248093,793
52000;0.255997475;0,255997475;255997,475
53000;0.267790556;0,267790556;267790,556
54000;0.278375275;0,278375275;278375,275
55000;0.289523686;0,289523686;289523,686
56000;0.299957288;0,299957288;299957,288
57000;0.311358321;0,311358321;311358,321
58000;0.320760339;0,320760339;320760,339
59000;0.333454702;0,333454702;333454,702
60000;0.345078418;0,345078418;345078,418
61000;0.356700424;0,356700424;356700,424
62000;0.37015265;0,37015265;370152,65
63000;0.376485005;0,376485005;376485,005
64000;0.388042002;0,388042002;388042,002
65000;0.401197414;0,401197414;401197,414
66000;0.415524976;0,415524976;415524,976
67000;0.430370897;0,430370897;430370,897
68000;0.443855628;0,443855628;443855,628
69000;0.456634103;0,456634103;456634,103
70000;0.471487438;0,471487438;471487,438
71000;0.486544351;0,486544351;486544,351
72000;0.497318678;0,497318678;497318,678
73000;0.512814116;0,512814116;512814,116
74000;0.526758185;0,526758185;526758,185
75000;0.549852505;0,549852505;549852,505
76000;0.55876211;0,55876211;558762,11
77000;0.570844878;0,570844878;570844,878
78000;0.594105427;0,594105427;594105,427
79000;0.602634389;0,602634389;602634,389
80000;0.624026225;0,624026225;624026,225
81000;0.628152848;0,628152848;628152,848
82000;0.647695358;0,647695358;647695,358
83000;0.660510329;0,660510329;660510,329
84000;0.678547662;0,678547662;678547,662
85000;0.700350077;0,700350077;700350,077
86000;0.725926701;0,725926701;725926,701
87000;0.734354159;0,734354159;734354,159
88000;0.753827098;0,753827098;753827,098
89000;0.800268931;0,800268931;800268,931
90000;0.797733878;0,797733878;797733,878
91000;0.827041657;0,827041657;827041,657
92000;0.853924726;0,853924726;853924,726
93000;0.856870073;0,856870073;856870,073
94000;0.874542445;0,874542445;874542,445
95000;0.91193553;0,91193553;911935,53
96000;0.904843314;0,904843314;904843,314
97000;0.938033934;0,938033934;938033,934
98000;0.942353301;0,942353301;942353,301
99000;0.963312315;0,963312315;963312,315
100000;0.980820455;0,980820455;980820,455
101000;1.013407747;1,013407747;1013407,747
